,Video title,Comments
0,How I Would Learn Data Science (If I Had to Start Over),So how can you get a job this way?
1,How I Would Learn Data Science (If I Had to Start Over),I have a history B's and I am basically starting from scratch self teaching myself about programing and data science. Thank you for providing multiple pathways to the end result because I cannot afford to return to college but have time and am willing to learn on my own time. I'm a lost 24 yo and seeing this calmly explained with lots helpful learning tips. This is what YouTube is still great for. Thank you....year old video so I doubt that you or anyone will see it but still thank you
2,How I Would Learn Data Science (If I Had to Start Over),"Hey man, wanted to ask where you got your wallpaper ;)"
3,How I Would Learn Data Science (If I Had to Start Over),Is that taking the paid course is good choice for data science?
4,How I Would Learn Data Science (If I Had to Start Over),"Hi Ken, is a data scientist a software programmer? How to improve one's programming skills if one has had limited exposure or does not feel too confident about programming?"
5,How I Would Learn Data Science (If I Had to Start Over),If I had to choose between data science and cloud computing what should I choose ? Plz answer me
6,How I Would Learn Data Science (If I Had to Start Over),Great video! Thanks
7,How I Would Learn Data Science (If I Had to Start Over),"Thenks for this explication, my quastion is what do you think about Coursera Courses, like Applied Data Science with Python Spécialisation ? Mercii"
8,How I Would Learn Data Science (If I Had to Start Over),"Today I’m starting my post graduate data science certification in January and it runs for 6 months, so some kind stranger(s) keep me accountable. A monthly check in will be nice :)"
9,How I Would Learn Data Science (If I Had to Start Over),Thanks for creating this video and sharing your knowledge Ken. With reference to what you mentioned at 2:14. According to you what is just enough programming for Python before one starts looking into Data Science projects? What are the concepts of Python one must absolutely know before embarking on Data Science projects?
10,How I Would Learn Data Science (If I Had to Start Over),Hi Ken. I'm currently studying anatomy and I'd love to do data science. What's your advice please? I've started online classes in SQL and Python already
11,How I Would Learn Data Science (If I Had to Start Over),"Hello ken, Hope you doing well!
I wanted to ask you that i want to do data science but i have done by bachelors in physics and knows lil bit about programming languages . So is this the right choice?
Is MBA in data science is different than the field  you are talking about?"
12,How I Would Learn Data Science (If I Had to Start Over),Doing a complete career change from social services to data analyst with no experience or degree. This video has been very helpful. Thanks!
13,How I Would Learn Data Science (If I Had to Start Over),"How data science is different depending on the industry, for example in a fin-tech, in a software development company, games development company, car factory, civil engineering, etc? it may be the volume of data, the processes, can you make a video about this topic please?
Interesting to me would be how much the skills transfer from one industry to another."
14,How I Would Learn Data Science (If I Had to Start Over),Hei Ken! Any chance you can make a new video of this topic? It’s been a year and a lot has changed ! 😃
15,How I Would Learn Data Science (If I Had to Start Over),"Currently planning on BS in Engineering Physics and MS in Data Science, will this set me up for success? Or should I consider other degrees to properly set me up"
16,How I Would Learn Data Science (If I Had to Start Over),"I have a great mindset for data, however I never code with Python, who can help me basic of Python language!…"
17,How I Would Learn Data Science (If I Had to Start Over),"hi Ken great video, i have one question i am planning to change my career and i have study gap of 10 years i am working in immigration department, so my intend is to do masters from UK in data science and i still have more then a year to apply for so i am thinking to learn basics like python and other language to see if that is my thing however what would you suggest would that be a good decision?"
18,How I Would Learn Data Science (If I Had to Start Over),"I saw you comment on other channels, thinking you're some annoying spam, but i actually became a fan, i love your content, keep it up!"
19,How I Would Learn Data Science (If I Had to Start Over),"Hi, Amazing videos you have! One question for you and for everyone. I actually work for the militaries and I don't have a degree, but I want to change careers. Would it be possible for me to get a job in an entry level position as a data analyst after finishing the IBM data analyst certificate??"
20,How I Would Learn Data Science (If I Had to Start Over),The choice of the video title is really attractive
21,How I Would Learn Data Science (If I Had to Start Over),Caveat isn't a verb.
22,How I Would Learn Data Science (If I Had to Start Over),"Hi, Thanks for your amazing video and tips. I am currently working as HR Professional. I have plans to move to different country and start my career all over as data scientist. After working for 7 years in HR, i feel this as a big change for me to start over. Do you think i would be able to learn it in time?"
23,How I Would Learn Data Science (If I Had to Start Over),"Hello, first thank you for the quality of the video, then I wanted to have your opinion please on a career path, I’m currently working as IT project manager but I’m taking one of 365datascience course for learning data science, and I want to pursue in this field, can I balance between the two correctly ? What’s the rythm you’re advising please ? 
Thank you in advance"
24,How I Would Learn Data Science (If I Had to Start Over),"thanks ken jee for informative videos..i have a concerning question regarding  choosing Data Science as non-tech background. with growing data science students would u think it will be still in demand in next 2-3 yrs or so, like if we start on this path it would take 2-3 yrs and by that time it might be outdated or there will be abundance of Data scientist? How about Videos on Data scientist as a freelancer. thanks again."
25,How I Would Learn Data Science (If I Had to Start Over),Thank you so much .. very informative now I have some clarity on how to proceed with my data science course
26,How I Would Learn Data Science (If I Had to Start Over),basic statistics is enough? I'm doing a masters in engineering and I felt like I didn't know enough stats.  Good to know it doesn't go to deep in the real world.
27,How I Would Learn Data Science (If I Had to Start Over),بنتى الفرقة الأولى حاسبات ومعلومات كانت علمى علوم مش فاهمة أى حاجة عن الmath zero أتمنى لو حد عنده نصيحة أو لينك للتعلم عن طريق النت يكتب لى وجزاكم الله خيرا
28,How I Would Learn Data Science (If I Had to Start Over),Which keyboard and mouse are you using?
29,How I Would Learn Data Science (If I Had to Start Over),"Hey Ken, I am a newbie in data science. I have a background in biological science and would like to merge conservation with data science. I am not new to analysis but I wish to advance my analytics skill and influence decision-making from my analysis. Thank you."
30,How I Would Learn Data Science (If I Had to Start Over),Sir i am from India🇮🇳 your new subscriber  I am from commerce background and wanna learn data science but  it Very difficult for me to lern statics pleee give me some Spasific topic that help me and i am not do more theory
31,How I Would Learn Data Science (If I Had to Start Over),How do I know that my knowledge is enough for grab some projects?
32,How I Would Learn Data Science (If I Had to Start Over),"Hey man, really appreciate your videos. I've been following you around for awhile and your videos helped me alot. I am a fresh graduate who recently obtain a data analyst job with DXC. Just wonder if this is the right path to become a data scientist? And any suggestions on the career path would be greatly appreciated. Thanks in advance!"
33,How I Would Learn Data Science (If I Had to Start Over),The kaggle competitions + courses are great.
34,How I Would Learn Data Science (If I Had to Start Over),Actual https://youtu.be/ZAkdZcx66Lw thing
35,How I Would Learn Data Science (If I Had to Start Over),Sir is udemy a good platform for learning data science... I just finished the data science course... There.. So slowly should I start doing real life projects?
36,How I Would Learn Data Science (If I Had to Start Over),Awesome !! Thank you!
37,How I Would Learn Data Science (If I Had to Start Over),https://youtube.com/shorts/tolsqjFTh8g?feature=share
38,How I Would Learn Data Science (If I Had to Start Over),"I'm a total newbie. I need all the details i can 
get. Thanks"
39,How I Would Learn Data Science (If I Had to Start Over),"I've learning data science for about 3 months now. My biggest problem was one those you mentioned in the beginner mistakes video : studying too much theory, trying out too many different courses . Your videos are great , man. Really helpful. Thanks. It made me more confident about making mistakes and trying out new projects . Not just kaggle , other more difficult platforms too."
40,How I Would Learn Data Science (If I Had to Start Over),"I know this video was published over a year ago
But I need your advice on this
I'm a fresh graduated biochemist and I like data science field and want shift careers to it 
Would it be easy to me to get a job in DS without academic learning just self learning?"
41,How I Would Learn Data Science (If I Had to Start Over),I will like to become a data scientist in one year
42,How I Would Learn Data Science (If I Had to Start Over),Hi can I know which design Under Armour shirt you're on? It looks really nice !
43,How I Would Learn Data Science (If I Had to Start Over),"Hi ken jee, thanks for this beneficial video, I am done learning python, presently I am learning data analysis with python but my main aim is to become a data scientist."
44,How I Would Learn Data Science (If I Had to Start Over),"Hi 
I completed my masters 2 years back and I didn't work after that.. is it good to choose data science as a beginner without experience and a gap?
Will I get a job after doing some courses?"
45,How I Would Learn Data Science (If I Had to Start Over),"Hey guys, I am starting my journey in Data Science and like to connect with other people. My plan is to make a certified Course in Data Science with exercises for the portfolio. Anyone here likes to join that journey to share experiences and discuss some interesting topics? I am really happy for every joining guy :)"
46,How I Would Learn Data Science (If I Had to Start Over),"Ken, you should learn Sign Language next. You are most gesticular when you speak. That's a compliment by the way. Great stuff."
47,How I Would Learn Data Science (If I Had to Start Over),"I work in the medical field, I graduated as a Medical Doctor in my country of origin,  but don’t practice since I moved to the US. I’m looking to integrate my medical knowledge into informatics, analytics, data, software tools, digital health, health information technology, data analysis, etc.  How can I achieve this? Is there a shortcut? Trying to direct my career path to the digital world but without having to go back to school for another 5 years 😂"
48,How I Would Learn Data Science (If I Had to Start Over),I have a degree in Health Informatics is studying data analytics would be helpful for me?
49,How I Would Learn Data Science (If I Had to Start Over),"What are prospects of Data Science as a second career, I mean is age a constraint to get a break in this field?"
50,How I Would Learn Data Science (If I Had to Start Over),"I'm studying Economics in College, probably my last year. I've been an Intern in Finance for ~3 years now (two different companies, also two different roles) and have just began feeling really interested in Data Science. If I could start over, I would pursue an internship in the field. I hope I can learn it and maybe even work with DS in the future. It is so much fun."
51,How I Would Learn Data Science (If I Had to Start Over),"01:20 - 1) Learn programming in python or R 
01:40 - 2) Learn basic statistics for data science 
01:58 - 3) Start projects as soon as you can (Kaggle)
03:28 - 4) Take notes on what algorithms and packages others use
03:46 - 5) Learn the source code for the algorithms and try to implement them from scratch
04:48 - 6) Work on more advanced projects where you collect your own data or use advanced concepts like deep learning, nlp, or computer vision."
52,How I Would Learn Data Science (If I Had to Start Over),So data science is only a minor in my university. Should I major in math or comp sci. If I can't get a new grad job as a data scientist wouldn't a comp sci major be a safe option?
53,How I Would Learn Data Science (If I Had to Start Over),am gd at math....but not at PHY and chem .... my university gave me an option to choose between information technology and data science...which one will be better for me to choose among them?
54,How I Would Learn Data Science (If I Had to Start Over),Putting a nice photo to cheat people into watching a no quality video! Youtube should have a 'I wasted my life' button as well!
55,How I Would Learn Data Science (If I Had to Start Over),May i ask you something; i know it is a little bit silly but what do you exactly mean when you say :  built your own portfolio? Thanks!
56,How I Would Learn Data Science (If I Had to Start Over),Okay this probably is dumb question but what is the song playing in the intro? :D I might have heard it somewhere.
57,How I Would Learn Data Science (If I Had to Start Over),"Iam poor at mathematics, will data science be right for me?"
58,How I Would Learn Data Science (If I Had to Start Over),Great video Bud. I really appreciate it !!!
59,How I Would Learn Data Science (If I Had to Start Over),I have started exploring on kaggle. The countless different ways people solve their problems can be so overwhelming. It's like an endless ocean. Any tips on how to overcome this?
